Model,Price,Performance,Brand,Popularity,Cores
A10-7850K,238.36,3917,AMD,0.0,4
A4-7300,135.00,1745,AMD,0.0,2
1200,59.00,7144,AMD,0.2,4
2200G,78.12,13654,AMD,0.8,4
1600,99.14,15272,AMD,1.7,6
1600X,139.84,16239,AMD,0.6,6
2600,117.58,16503,AMD,4.9,6
2600X,148.40,17042,AMD,2.2,6
3600,194.79,19015,AMD,7.8,6
3600X,234.27,19360,AMD,0.9,6
1700,179.89,16352,AMD,1.3,8
1700X,173.48,17843,AMD,0.6,8
1800X,289.99,18589,AMD,0.4,8
2700,168.99,18033,AMD,1.1,8
2700X,191.56,20002,AMD,3.8,8
3700X,326.89,23722,AMD,6.6,8
3800X,369.89,24084,AMD,0.9,8
3900X,499.99,28792,AMD,2.8,12
Threadripper 1920X,248.99,22134,AMD,0.1,12
Threadripper 1950X,526.51,25192,AMD,0.2,16
Threadripper 2920X,349.99,24308,AMD,0.1,12
Threadripper 2950X,673.38,24308,AMD,0.1,16
Threadripper 2990WX,1699.99,18442,AMD,0.0,32
Celeron G3900,46.88,3074,Intel,0.2,2
i3-8100 ,119.99,7802,Intel,0.2,4
i3-8350K ,189.98,7938,Intel,0.1,4
i3-9100F ,89.45,8707,Intel,0.2,4
i5-8400 ,195.89,11826,Intel,0.9,6
i5-8500 ,198.90,12219,Intel,0.4,6
i5-8600 ,259.89,12415,Intel,0.1,6
i5-8600K ,258.89,13397,Intel,1.0,6
i5-9400 ,189.89,12374,Intel,0.1,6
i5-9400F ,147.88,12374,Intel,1.9,6
i5-9600K ,229.99,13341,Intel,1.5,6
i5-9600KF ,212.99,13341,Intel,0.1,6
i7-8086K ,706.24,19181,Intel,0.6,6
i7-8700 ,309.99,18290,Intel,1.6,6
i7-8700K ,354.99,18847,Intel,3.7,6
i7-9700 ,335.99,17664,Intel,0.2,8
i7-9700F ,329.86,17664,Intel,0.1,8
i7-9700K ,359.00,18678,Intel,3.8,8
i7-9700KF ,359.89,18678,Intel,0.2,8
i7-9800X ,588.50,21067,Intel,0.1,8
i9-9900K ,484.99,24712,Intel,5.0,8
i9-9900KF ,469.89,24712,Intel,0.7,8
i9-9900X ,986.79,23039,Intel,0.0,10
i9-9980XE ,1899.99,30927,Intel,0.1,18
Pentium G4400,69.98,3668,Intel,0.1,2
Pentium G4560,90.39,5268,Intel,0.2,2
Pentium G4600,235.24,5268,Intel,0.0,2
Pentium Gold G5400,60.89,5493,Intel,0.1,2
