Model,Price,Performance,Brand,Popularity
Vega Frontier Edition,1199.99,6860,AMD,0.0
RX 5700 XT,359.99,9165,AMD,0.3
RX 5700,303.98,8191,AMD,1.6
RX 5500 XT,149.99,4806,AMD,0.0
RX 5600 XT,269.99,7425,AMD,0.1
RX 570,119.99,3870,AMD,1.6
RX 580,154.99,4367,AMD,3.3
RX VEGA 56,259.99,6763,AMD,2.1
Radeon VII,549.99,8894,AMD,0.9
RX VEGA 64,644.00,7325,AMD,2.1
RTX 2070,409.99,9254,Nvidia,4.2
RTX 2060,299.99,7724,Nvidia,2.7
RTX 2080,648.63,11185,Nvidia,4.8
RTX 2080 SUPER,699.99,11700,Nvidia,3.8
RTX 2060 SUPER,384.99,8908,Nvidia,2.3
GTX 1650,144.99,3455,Nvidia,0.3
RTX 2080 Ti,1129.88,14593,Nvidia,10.0
GTX 1660,199.99,5495,Nvidia,0.8
GTX 1660 Ti,263.98,6439,Nvidia,1.5
GTX 1650 SUPER,159.99,4735,Nvidia,0.1
GTX 1660 SUPER,224.99,6185,Nvidia,0.8
RTX 2070 SUPER,499.99,10289,Nvidia,7.3
RX 590,229.99,4796,AMD,1.0
TITAN RTX,2489.98,14947,Nvidia,0.1
